Order_ID,Quantity,Payment_Method
419,2,Net Banking
420,8,Net Banking
421,8,Net Banking
422,5,Debit Card
423,3,Credit Card
424,10,Net Banking
425,3,Credit Card
426,4,Net Banking
427,3,Credit Card
428,8,Net Banking
429,9,Cash on Delivery
430,10,UPI
431,7,Cash on Delivery
432,10,Debit Card
433,7,Cash on Delivery
434,10,UPI
435,3,Cash on Delivery
436,5,Credit Card
437,8,UPI
438,5,Credit Card
439,3,Credit Card
440,7,Net Banking
441,6,Cash on Delivery
442,2,Debit Card
443,5,Credit Card
444,4,Cash on Delivery
445,9,UPI
446,7,Net Banking
447,3,Cash on Delivery
448,2,UPI
449,8,Debit Card
450,7,Cash on Delivery
451,6,Cash on Delivery
452,1,UPI
453,1,Cash on Delivery
454,9,Debit Card
455,6,Debit Card
456,5,Debit Card
457,9,Credit Card
458,1,UPI
459,6,Credit Card
460,7,UPI
461,8,Credit Card
462,9,Cash on Delivery
463,9,Net Banking
464,9,Credit Card
465,2,Cash on Delivery
466,9,Net Banking
467,10,Debit Card
468,2,Cash on Delivery
469,3,Credit Card
470,1,UPI
471,5,Credit Card
472,8,Cash on Delivery
473,6,Cash on Delivery
474,9,UPI
475,10,Credit Card
476,1,UPI
477,10,Debit Card
478,4,UPI
479,4,Net Banking
480,7,Debit Card
481,3,UPI
482,7,UPI
483,7,Debit Card
484,3,UPI
485,1,Cash on Delivery
486,7,Debit Card
487,1,Net Banking
488,4,Credit Card
489,6,Cash on Delivery
490,10,UPI
491,10,Credit Card
492,4,UPI
493,7,Credit Card
494,3,Cash on Delivery
495,8,UPI
496,5,UPI
497,1,Debit Card
498,6,UPI
499,1,Debit Card
500,2,Cash on Delivery
501,8,Cash on Delivery
502,1,UPI
503,4,Credit Card
504,7,Credit Card
505,1,UPI
506,7,Cash on Delivery
507,6,UPI
508,6,UPI
509,8,UPI
510,3,Net Banking
511,2,Debit Card
512,8,Credit Card
513,8,Net Banking
514,9,Cash on Delivery
515,2,Cash on Delivery
516,3,Net Banking
517,1,Credit Card
518,4,Credit Card
519,1,Debit Card
520,3,Cash on Delivery
521,2,Net Banking
522,4,Net Banking
523,1,Net Banking
524,2,UPI
525,7,Cash on Delivery
526,1,UPI
527,6,UPI
528,6,Net Banking
529,8,Debit Card
530,1,UPI
531,10,Credit Card
532,4,Cash on Delivery
533,4,Cash on Delivery
534,5,Cash on Delivery
535,7,Debit Card
536,4,Debit Card
537,10,Credit Card
538,8,Cash on Delivery
539,8,Net Banking
540,1,Cash on Delivery
541,7,Net Banking
542,5,UPI
543,3,Debit Card
544,4,Cash on Delivery
545,1,Cash on Delivery
546,7,Credit Card
547,10,Net Banking
548,6,Debit Card
549,7,Credit Card
550,4,Net Banking
551,8,Cash on Delivery
552,5,Cash on Delivery
553,7,Cash on Delivery
554,10,Cash on Delivery
555,10,Credit Card
556,5,Debit Card
557,7,UPI
558,1,Cash on Delivery
559,6,Debit Card
560,10,Credit Card
561,4,UPI
562,2,Net Banking
563,9,Credit Card
564,4,Cash on Delivery
565,10,Credit Card
566,4,Cash on Delivery
567,6,Cash on Delivery
568,10,Credit Card
569,2,UPI
570,8,UPI
571,4,Debit Card
572,4,Credit Card
573,1,UPI
574,3,Cash on Delivery
575,5,UPI
576,7,Net Banking
577,1,Cash on Delivery
578,6,Debit Card
579,10,Net Banking
580,8,Net Banking
581,10,Cash on Delivery
582,1,Credit Card
583,4,Debit Card
584,1,UPI
585,2,UPI
586,3,Cash on Delivery
587,6,Credit Card
588,5,Cash on Delivery
589,5,Credit Card
590,5,Credit Card
591,5,Cash on Delivery
592,1,UPI
593,8,Debit Card
594,1,Credit Card
595,1,Credit Card
596,10,Credit Card
597,10,Debit Card
598,9,Debit Card
599,2,Debit Card
600,4,Net Banking
601,8,Debit Card
602,7,Cash on Delivery
603,6,UPI
604,4,Net Banking
605,10,Credit Card
606,2,UPI
607,8,Debit Card
608,3,Debit Card
609,2,Cash on Delivery
610,1,Debit Card
611,4,Net Banking
612,7,Cash on Delivery
613,3,Debit Card
614,3,Net Banking
615,6,UPI
616,1,Debit Card
617,9,Net Banking
618,3,Credit Card
619,9,Debit Card
620,2,Debit Card
621,6,Net Banking
622,4,Cash on Delivery
623,4,Debit Card
624,6,Cash on Delivery
625,10,Cash on Delivery
626,4,Cash on Delivery
627,3,Cash on Delivery
628,5,Cash on Delivery
629,8,Net Banking
630,9,Net Banking
631,5,Credit Card
632,5,Net Banking
633,9,Debit Card
634,5,Net Banking
635,6,UPI
636,8,UPI
637,9,Cash on Delivery
638,6,Cash on Delivery
639,4,UPI
640,8,Cash on Delivery
641,9,UPI
642,3,UPI
643,2,Credit Card
644,1,Net Banking
645,1,Cash on Delivery
646,5,UPI
647,7,Debit Card
648,2,Credit Card
649,2,UPI
650,9,Credit Card
651,8,Debit Card
652,5,Net Banking
653,7,UPI
654,9,UPI
655,7,Debit Card
656,9,Debit Card
657,1,Net Banking
658,6,Cash on Delivery
659,1,Debit Card
660,9,Debit Card
661,8,Cash on Delivery
662,1,Cash on Delivery
663,2,Credit Card
664,10,Net Banking
665,5,Debit Card
666,3,Credit Card
667,9,UPI
668,4,Cash on Delivery
669,1,Debit Card
670,1,UPI
671,5,UPI
672,3,Net Banking
673,3,UPI
674,9,Debit Card
675,1,Net Banking
676,4,Cash on Delivery
677,7,Credit Card
678,7,Net Banking
679,5,Net Banking
680,6,Debit Card
681,4,Credit Card
682,1,Debit Card
683,4,UPI
684,2,Cash on Delivery
685,10,Credit Card
686,10,Credit Card
687,2,UPI
688,9,Net Banking
689,9,Net Banking
690,6,Debit Card
691,8,UPI
692,8,UPI
693,10,Debit Card
694,6,Net Banking
695,1,Cash on Delivery
696,4,Debit Card
697,5,Net Banking
698,8,Credit Card
699,7,Net Banking
700,6,Debit Card
701,6,UPI
702,5,Debit Card
703,8,Credit Card
704,6,Net Banking
705,5,UPI
706,10,Credit Card
707,2,Net Banking
708,8,Credit Card
709,9,Cash on Delivery
710,4,Credit Card
711,6,Net Banking
712,3,Debit Card
713,9,Cash on Delivery
714,6,Net Banking
715,2,UPI
716,2,Net Banking
717,9,Credit Card
718,9,Net Banking
719,8,Cash on Delivery
720,3,UPI
721,1,Net Banking
722,4,Credit Card
723,8,Cash on Delivery
724,3,Cash on Delivery
725,2,Cash on Delivery
726,8,Credit Card
727,6,Credit Card
728,9,Net Banking
729,7,Cash on Delivery
730,9,Net Banking
731,8,Debit Card
732,6,Debit Card
733,3,Debit Card
734,10,Debit Card
735,6,Credit Card
736,10,Cash on Delivery
737,8,Credit Card
738,6,Net Banking
739,1,Credit Card
740,7,Credit Card
741,7,UPI
742,7,Cash on Delivery
743,9,Cash on Delivery
744,9,UPI
745,3,Credit Card
746,7,Debit Card
747,8,Debit Card
748,6,UPI
749,1,Net Banking
750,5,UPI
751,2,Net Banking
752,5,UPI
753,9,Net Banking
754,5,Credit Card
755,4,Cash on Delivery
756,6,Debit Card
757,7,Credit Card
758,10,Credit Card
759,10,Credit Card
760,8,Debit Card
761,10,UPI
762,4,UPI
763,3,Credit Card
764,8,UPI
765,8,Net Banking
766,1,Debit Card
767,3,Cash on Delivery
768,4,Net Banking
769,3,Net Banking
770,3,Cash on Delivery
771,5,UPI
772,1,Net Banking
773,2,Debit Card
774,4,Cash on Delivery
775,3,Debit Card
776,10,Debit Card
777,8,Net Banking
778,9,Net Banking
779,6,Net Banking
780,5,Credit Card
781,5,Credit Card
782,2,Net Banking
783,5,Credit Card
784,2,Cash on Delivery
785,1,Credit Card
786,8,Cash on Delivery
787,5,Credit Card
788,4,Debit Card
789,5,UPI
790,10,Net Banking
791,10,Debit Card
792,7,Net Banking
793,4,Cash on Delivery
794,10,Debit Card
795,2,Debit Card
796,1,Net Banking
797,1,UPI
798,4,UPI
799,8,Debit Card
800,3,Cash on Delivery
801,3,Cash on Delivery
802,4,Net Banking
803,8,UPI
804,2,Cash on Delivery
805,3,UPI
806,4,UPI
807,9,Credit Card
808,10,UPI
809,6,Cash on Delivery
810,2,Credit Card
811,7,Cash on Delivery
812,9,Credit Card
813,5,Debit Card
814,10,Credit Card
815,5,Cash on Delivery
816,8,UPI
817,7,Credit Card
818,2,Cash on Delivery
819,7,Credit Card
820,1,Cash on Delivery
821,3,Credit Card
822,6,Credit Card
823,7,Cash on Delivery
824,2,UPI
825,8,UPI
826,10,Debit Card
827,5,Net Banking
828,8,Credit Card
829,5,Credit Card
830,8,Cash on Delivery
831,9,Net Banking
832,1,Credit Card
833,6,UPI
834,8,Net Banking
835,10,Debit Card
836,10,Debit Card
837,4,Credit Card
838,4,Net Banking
839,3,Cash on Delivery
840,1,Credit Card
841,7,UPI
842,9,Debit Card
843,3,UPI
844,5,Net Banking
845,1,Net Banking
846,9,UPI
847,6,Cash on Delivery
848,1,Credit Card
849,4,UPI
850,10,UPI
851,7,Credit Card
852,5,Credit Card
853,7,Debit Card
854,6,Cash on Delivery
855,1,UPI
856,5,Debit Card
857,4,Net Banking
858,7,Credit Card
859,10,UPI
860,5,UPI
861,7,UPI
862,1,Debit Card
863,4,Net Banking
864,10,Cash on Delivery
865,5,UPI
866,5,Debit Card
867,5,Debit Card
868,5,Net Banking
869,6,Credit Card
870,1,Debit Card
871,9,Debit Card
872,6,Net Banking
873,8,Cash on Delivery
874,4,Debit Card
875,6,Cash on Delivery
876,8,Net Banking
877,10,Cash on Delivery
878,7,Debit Card
879,1,Credit Card
880,8,Debit Card
881,7,Cash on Delivery
882,1,UPI
883,2,Debit Card
884,6,Cash on Delivery
885,4,Cash on Delivery
886,3,Net Banking
887,6,UPI
888,5,Debit Card
889,10,Net Banking
890,10,Net Banking
891,6,Credit Card
892,9,Cash on Delivery
893,2,Credit Card
894,9,Net Banking
895,2,UPI
896,6,UPI
897,9,UPI
898,8,UPI
899,4,Debit Card
900,2,Cash on Delivery
901,10,Debit Card
902,6,Credit Card
903,8,Cash on Delivery
904,8,Cash on Delivery
905,10,Cash on Delivery
906,2,UPI
907,5,Net Banking
908,5,Cash on Delivery
909,2,Cash on Delivery
910,10,Cash on Delivery
911,6,Debit Card
912,6,Credit Card
913,2,Debit Card
914,1,Credit Card
915,5,Credit Card
916,9,Net Banking
917,5,Net Banking
918,9,Credit Card
919,9,Debit Card
920,8,Cash on Delivery
921,7,UPI
922,3,Net Banking
923,3,Net Banking
924,10,Credit Card
925,4,Debit Card
926,3,Net Banking
927,9,Net Banking
928,10,Net Banking
929,5,Debit Card
930,2,UPI
931,2,Cash on Delivery
932,9,Credit Card
933,10,Debit Card
934,8,Debit Card
935,9,UPI
936,3,UPI
937,2,Net Banking
938,8,UPI
939,9,Net Banking
940,3,Net Banking
941,1,Cash on Delivery
942,10,UPI
943,7,Credit Card
944,9,UPI
945,1,UPI
946,7,Credit Card
947,2,Debit Card
948,2,Credit Card
949,4,Credit Card
950,5,UPI
951,4,Cash on Delivery
952,8,Cash on Delivery
953,7,Cash on Delivery
954,4,Credit Card
955,7,Cash on Delivery
956,8,Net Banking
957,4,Net Banking
958,4,Cash on Delivery
959,8,Net Banking
960,5,Cash on Delivery
961,5,Debit Card
962,3,Net Banking
963,4,Credit Card
964,3,Credit Card
965,10,Net Banking
966,7,Cash on Delivery
967,6,Cash on Delivery
968,6,UPI
969,7,Cash on Delivery
970,7,Debit Card
971,4,Net Banking
972,6,Credit Card
973,6,UPI
974,2,UPI
975,4,Debit Card
976,1,Credit Card
977,2,Debit Card
978,2,Cash on Delivery
979,3,Net Banking
980,5,Debit Card
981,8,Cash on Delivery
982,7,Credit Card
983,6,Credit Card
984,7,Net Banking
985,5,UPI
986,1,Cash on Delivery
987,8,UPI
988,6,UPI
989,5,UPI
990,8,Net Banking
991,8,Credit Card
992,6,UPI
993,7,Debit Card
994,5,UPI
995,7,Debit Card
996,4,Cash on Delivery
997,10,Credit Card
998,4,Net Banking
999,7,Debit Card
1000,4,Cash on Delivery
1001,5,UPI
1002,10,UPI
1003,5,Net Banking
1004,6,Credit Card
1005,7,UPI
1006,1,Debit Card
1007,4,Cash on Delivery
1008,10,Credit Card
1009,1,Net Banking
1010,7,Debit Card
1011,4,Debit Card
1012,10,Debit Card
1013,5,UPI
1014,1,Credit Card
1015,10,Credit Card
1016,3,Debit Card
1017,8,Net Banking
1018,5,Cash on Delivery
1019,3,UPI
1020,10,UPI
1021,7,Debit Card
1022,7,Credit Card
1023,10,Net Banking
1024,8,Credit Card
1025,7,UPI
1026,6,Credit Card
1027,6,Debit Card
1028,10,Cash on Delivery
1029,5,Net Banking
1030,3,Net Banking
1031,8,Net Banking
1032,7,Net Banking
1033,8,Debit Card
1034,7,UPI
1035,1,Debit Card
1036,9,Credit Card
1037,10,Net Banking
1038,2,Debit Card
1039,9,Credit Card
1040,8,Credit Card
1041,3,Net Banking
1042,6,Debit Card
1043,8,UPI
1044,8,Debit Card
1045,9,Debit Card
1046,4,Debit Card
1047,1,Credit Card
1048,2,Cash on Delivery
1049,6,Cash on Delivery
1050,6,Cash on Delivery
1051,7,UPI
1052,6,Net Banking
1053,10,UPI
1054,8,Cash on Delivery
1055,7,Debit Card
1056,10,UPI
1057,4,Credit Card
1058,2,UPI
1059,10,UPI
1060,9,UPI
1061,8,Cash on Delivery
1062,8,Debit Card
1063,6,Net Banking
1064,10,Cash on Delivery
1065,8,Debit Card
1066,8,Cash on Delivery
1067,6,UPI
1068,6,Cash on Delivery
1069,4,Net Banking
1070,9,Debit Card
1071,1,Net Banking
1072,4,Debit Card
1073,10,Cash on Delivery
1074,5,Net Banking
1075,9,UPI
1076,2,Debit Card
1077,3,Net Banking
1078,2,Cash on Delivery
1079,3,Credit Card
1080,8,Net Banking
1081,2,Cash on Delivery
1082,6,Cash on Delivery
1083,8,Net Banking
1084,6,Net Banking
1085,10,UPI
1086,10,Net Banking
1087,4,Credit Card
1088,1,Cash on Delivery
1089,8,UPI
1090,9,Debit Card
1091,7,Cash on Delivery
1092,3,Credit Card
1093,5,Credit Card
1094,1,Credit Card
1095,4,Debit Card
1096,6,Credit Card
1097,1,Debit Card
1098,1,Debit Card
1099,1,Cash on Delivery
1100,6,UPI
1101,3,Net Banking
1102,7,Debit Card
1103,7,Cash on Delivery
1104,10,Debit Card
1105,4,Cash on Delivery
1106,10,Debit Card
1107,3,Cash on Delivery
1108,10,Net Banking
1109,3,Credit Card
1110,9,UPI
1111,7,Net Banking
1112,2,UPI
1113,3,UPI
1114,3,Debit Card
1115,6,Credit Card
1116,10,Credit Card
1117,5,Credit Card
1118,7,UPI
1119,4,Net Banking
1120,8,Debit Card
1121,2,UPI
1122,4,UPI
1123,10,Credit Card
1124,2,Credit Card
1125,6,Net Banking
1126,1,Net Banking
1127,6,Debit Card
1128,2,UPI
1129,10,Debit Card
1130,7,Debit Card
1131,3,Debit Card
1132,4,Credit Card
1133,10,Credit Card
1134,1,Cash on Delivery
1135,2,Credit Card
1136,3,UPI
1137,5,Credit Card
1138,4,Credit Card
1139,7,Debit Card
1140,4,UPI
1141,6,Credit Card
1142,8,UPI
1143,8,Debit Card
1144,10,Credit Card
1145,7,Cash on Delivery
1146,4,UPI
1147,8,Credit Card
1148,2,Cash on Delivery
1149,6,Debit Card
1150,7,Credit Card
1151,9,Cash on Delivery
1152,4,Debit Card
1153,5,Cash on Delivery
1154,6,UPI
1155,10,Cash on Delivery
1156,5,Debit Card
1157,1,Credit Card
1158,2,Debit Card
1159,10,Net Banking
1160,5,Credit Card
1161,2,Cash on Delivery
1162,1,UPI
1163,5,Credit Card
1164,3,Debit Card
1165,2,UPI
1166,6,Debit Card
1167,4,Cash on Delivery
1168,2,Debit Card
1169,5,Cash on Delivery
1170,8,Debit Card
1171,3,Credit Card
1172,3,Net Banking
1173,6,UPI
1174,6,UPI
1175,3,Debit Card
1176,2,Cash on Delivery
1177,4,Cash on Delivery
1178,9,UPI
1179,6,Net Banking
1180,8,Credit Card
1181,2,Cash on Delivery
1182,1,Debit Card
1183,10,Debit Card
1184,2,Cash on Delivery
1185,9,Net Banking
1186,9,UPI
1187,6,Credit Card
1188,9,Debit Card
1189,3,Credit Card
1190,9,Credit Card
1191,3,Credit Card
1192,6,UPI
1193,2,Cash on Delivery
1194,3,Cash on Delivery
1195,1,Net Banking
1196,9,Debit Card
1197,6,Cash on Delivery
1198,4,Cash on Delivery
1199,8,Debit Card
1200,10,Credit Card
1201,4,Cash on Delivery
1202,7,Debit Card
1203,5,Net Banking
1204,2,Credit Card
1205,7,Credit Card
1206,9,UPI
1207,6,Credit Card
1208,8,Credit Card
1209,5,Credit Card
1210,10,UPI
1211,3,Debit Card
1212,5,Debit Card
1213,4,Cash on Delivery
1214,3,Debit Card
1215,8,Debit Card
1216,10,Credit Card
1217,5,Net Banking
1218,9,Cash on Delivery
1219,8,UPI
1220,10,UPI
1221,8,UPI
1222,1,Debit Card
1223,3,Credit Card
1224,7,Credit Card
1225,2,Credit Card
1226,10,Cash on Delivery
1227,9,Net Banking
1228,10,Credit Card
1229,3,Net Banking
1230,9,Debit Card
1231,4,UPI
1232,10,Credit Card
1233,9,Net Banking
1234,6,Net Banking
1235,2,UPI
1236,3,Debit Card
1237,4,Credit Card
1238,10,UPI
1239,6,Cash on Delivery
1240,9,Debit Card
1241,8,UPI
1242,7,Debit Card
1243,4,Credit Card
1244,9,Debit Card
1245,10,Debit Card
1246,1,Cash on Delivery
1247,9,Cash on Delivery
1248,1,Cash on Delivery
1249,8,Debit Card
1250,10,Cash on Delivery
1251,6,Net Banking
1252,9,Debit Card
1253,10,Debit Card
1254,5,Credit Card
1255,5,Credit Card
1256,7,Debit Card
1257,9,Cash on Delivery
1258,3,Credit Card
1259,8,Debit Card
1260,1,Cash on Delivery
1261,4,Cash on Delivery
1262,8,Cash on Delivery
1263,7,Debit Card
1264,9,Credit Card
1265,1,Debit Card
1266,8,UPI
1267,7,Debit Card
1268,4,Net Banking
1269,7,Cash on Delivery
1270,1,Debit Card
1271,5,Cash on Delivery
1272,10,Net Banking
1273,3,UPI
1274,6,Cash on Delivery
1275,7,Credit Card
1276,5,Debit Card
1277,5,Cash on Delivery
1278,5,Credit Card
1279,5,Debit Card
1280,4,Net Banking
1281,5,Debit Card
1282,2,Net Banking
1283,6,Cash on Delivery
1284,4,Cash on Delivery
1285,4,Net Banking
1286,5,Net Banking
1287,3,UPI
1288,4,UPI
1289,1,Credit Card
1290,8,Debit Card
1291,10,Credit Card
1292,3,Credit Card
1293,3,Net Banking
1294,3,UPI
1295,9,Cash on Delivery
1296,8,Cash on Delivery
1297,7,UPI
1298,6,Net Banking
1299,1,Debit Card
1300,7,UPI
1301,8,Cash on Delivery
1302,7,Cash on Delivery
1303,6,Debit Card
1304,1,Net Banking
1305,2,Cash on Delivery
1306,1,Credit Card
1307,5,Debit Card
1308,7,Cash on Delivery
1309,6,UPI
1310,9,UPI
1311,7,Net Banking
1312,6,Credit Card
1313,6,Debit Card
1314,8,Cash on Delivery
1315,10,UPI
1316,4,Net Banking
1317,3,UPI
1318,5,Debit Card
1319,3,Cash on Delivery
1320,6,UPI
1321,9,UPI
1322,10,UPI
1323,8,UPI
1324,4,Debit Card
1325,9,Credit Card
1326,8,Debit Card
1327,7,Credit Card
1328,2,Cash on Delivery
1329,5,Debit Card
1330,2,Net Banking
1331,10,Credit Card
